UserID,Gender,Region of Birth,Region of Residence,How long ago did you move to your current country of residence?,Do you have children?,Education Level (Highest achieved or currently pursuing),Job Status,Job Role,Job Level,Topic(s) of interest,Social Media Usage,How concerned are you that policies to address global warming will increase your cost of living?,How important is it to you that this country leads the world in new technologies and innovation?,Do you agree or disagree with the question: True patriotism means leaving the country better than you found it.,"On social and political issues, where would you place yourself?",An ideal society requires some groups to be on top and others to be on the bottom.,Do you feel optimistic or pessimistic about the future?,"Do you think the number of immigrants to your country should be increased, reduced, or remain the same?",Do you think that global warming is happening?,"Assuming global warming is happening, do you think it is?",Which comes closest to your own view about what most scientists think?,How strongly do you agree or disagree with the following question: Global warming is affecting the weather in your country.,"In your opinion, when will global warming start to harm people in your country?",How much do you think global warming will harm plants and animal species?,How much do you think global warming will harm future generations of people?,How much do you think global warming will harm people in developing countries?,How much do you think global warming will harm people in your country?,How much do you think global warming will harm you personally?,When do you think global warming will start to harm people in your country?,How much do you agree or disagree with the following question: I have personally experienced the effects of global warming?,"Fund more research into renewable energy sources, such as solar and wind power.",Require fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount.,Provide tax rebates for people who purchase energy-efficient vehicles or solar panels.,Set strict CO2 emission limits on coal-fired power plants.,Drill for oil in natural areas or reserves.,Expand offshore drilling for oil and natural gas off your country's coast.,Do you think the following should be doing more or less to address global warming? Corporations and industry.,The President.,Congress.,Your Governor.,Your local officials.,Citizens themselves.,Should global warming be a priority for the next president and Congress?,Should developing sources of clean energy be a priority?,Generate renewable energy (solar and wind) on public land in your country.,Support the economy transition from fossil fuels to 100% clean energy by 2050.,How often do you discuss global warming with your friends and family?,How often do you hear about global warming in the media?,How severe would you rate the personal effects of global warming that you have experienced?,"Would you personally be willing to pay higher energy bills to support more renewable energy development (solar, wind, etc.)?",How responsible do you feel personally for helping reduce the effects of global warming on future generations?,Do you agree or disagree with the statement: True patriotism means leaving the country better than you found it.,"The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization.",A lot of important information is deliberately concealed from the public out of self-interest.,Certain significant events have been the result of the activity of a small group that secretly manipulates world events.,The government uses innocent people as patsies to hide its involvement in criminal activity.,Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent.,The government permits or perpetrates acts of terrorism on its own soil disguising its involvement.,New and advanced technology which would harm current industry is being suppressed.,The power held by heads of state is second to that of small unknown groups who really control world politics.,Secret organizations communicate with extraterrestrials but keep this fact from the public.,Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact.,The government is involved in the murder of innocent citizens and or well-known public figures and keeps this a secret.,A small secret group of people is responsible for making all major decisions such as going to war.,Technology with mind-control capacities is used on people without their knowledge.,Evidence of alien contact is being concealed from the public.,Groups of scientists manipulate fabricate or suppress evidence in order to deceive the public.,I see myself as someone who is reserved.,I see myself as someone who is generally trusting.,I see myself as someone who tends to be lazy.,"I see myself as someone who is relaxed, handles stress well.",I see myself as someone who has few artistic interests.,"I see myself as someone who is outgoing, sociable.",I see myself as someone who tends to find fault with others.,I see myself as someone who does a thorough job.,I see myself as someone who gets nervous easily.,I see myself as someone who has an active imagination.,Question 93,Question 94,Question 95,Question 96,Question 97
680888511c27a3a70e404a8c,Female,Asia,Europe,<5 years,No,Undergraduate Degree,Unemployed,N/A,N/A,Geography,5+ hours/day,Don’t know,Not important at all,Strongly disagree,Prefer not to answer,Strongly favor,Very pessimistic,Reduced,Yes,Caused mostly by human activities,Don’t know enough to say,Strongly disagree,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Never,Strongly disagree,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Much less,Much less,Much less,Much less,Much less,Much less,Low,Low,Strongly disagree,Strongly disagree,Never,Never,Don’t know / Not applicable,Don’t know,Don’t know,Strongly disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,,,,,
6808aced84077492cbea8f94,Female,Europe,Europe,>10 years,No,Postgraduate Degree,Unemployed,N/A,N/A,Economics,5+ hours/day,Very concerned,Extremely important,Strongly disagree,Very liberal,Somewhat oppose,Somewhat optimistic,Remain the same,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Strongly agree,They are being harmed right now,A great deal,A great deal,A great deal,A great deal,A great deal,They are being harmed right now,Somewhat agree,Strongly support,Somewhat support,Somewhat support,Strongly support,Strongly oppose,Somewhat support,Much more,Less,Much more,Much more,Currently doing the right amount,More,Very high,Very high,Strongly agree,Strongly agree,Rarely,At least once a week,Slightly severe,Definitely not,Slightly responsible,Strongly agree,strongly_disagree,strongly_agree,agree,strongly_agree,disagree,disagree,disagree,strongly_agree,strongly_agree,strongly_agree,agree,agree,strongly_disagree,strongly_agree,neutral,agree_strongly,agree_strongly,disagree_strongly,agree_strongly,disagree_a_little,agree_a_little,disagree_strongly,agree_a_little,disagree_strongly,neutral,,,,,
6808aea984077492cbea9006,Female,Europe,Europe,<5 years,No,Undergraduate Degree,Employed,Engineering/Technical,Entry Level,HealthNutrition,3-5 hours/day,Very concerned,Extremely important,Strongly agree,Slightly liberal,Somewhat oppose,Somewhat pessimistic,Increased,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Strongly agree,They are being harmed right now,A great deal,A great deal,A great deal,A great deal,A great deal,They are being harmed right now,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Much more,Much more,Much more,Much more,Much more,Much more,Very high,Very high,Strongly agree,Strongly agree,Often,At least once a week,Very severe,"Yes, definitely",Very responsible,Strongly agree,disagree,agree,agree,agree,agree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,agree_a_little,agree_a_little,agree_a_little,agree_strongly,disagree_a_little,agree_a_little,disagree_a_little,agree_a_little,disagree_a_little,agree_a_little,,,,,
6808af5b84077492cbea9008,Female,Europe,Europe,>10 years,No,Postgraduate Degree,Unemployed,N/A,N/A,HealthNutrition,1-3 hours/day,Somewhat concerned,Very important,Somewhat agree,Very liberal,Neutral,Neither optimistic nor pessimistic,Remain the same,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat agree,In 10 years,A moderate amount,A great deal,A great deal,A great deal,A moderate amount,In 10 years,Somewhat disagree,Strongly support,Somewhat support,Strongly support,Strongly support,Somewhat oppose,Somewhat oppose,Much more,Much more,Much more,Much more,More,More,Very high,Very high,Strongly agree,Strongly agree,Rarely,At least once a month,Slightly severe,Probably not,Moderately responsible,Somewhat agree,disagree,agree,neutral,neutral,strongly_disagree,disagree,disagree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,neutral,agree_strongly,agree_a_little,disagree_a_little,disagree_a_little,agree_a_little,agree_a_little,agree_a_little,disagree_a_little,disagree_a_little,,,,,
6808afe584077492cbea9070,Female,Europe,Europe,>10 years,No,Undergraduate Degree,Unemployed,N/A,N/A,HealthNutrition Economics,3-5 hours/day,Very concerned,Extremely important,Strongly agree,Moderate / Middle of the road,Strongly oppose,Very pessimistic,Reduced,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Strongly agree,They are being harmed right now,A great deal,A great deal,A great deal,A great deal,A great deal,They are being harmed right now,Somewhat agree,Strongly support,Somewhat support,Strongly support,Strongly support,Somewhat oppose,Somewhat oppose,Much more,Much less,Much less,Much less,Much less,Much less,Very high,Very high,Strongly agree,Strongly agree,Never,At least once a month,Very severe,Probably not,Moderately responsible,Strongly agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree_a_little,disagree_a_little,disagree_a_little,disagree_strongly,disagree_strongly,agree_strongly,agree_a_little,agree_strongly,agree_strongly,agree_a_little,,,,,
6808b01e84077492cbea9072,Female,Europe,Europe,>10 years,No,Undergraduate Degree,Unemployed,N/A,N/A,HealthNutrition,1-3 hours/day,Not very concerned,Very important,Somewhat agree,Prefer not to answer,Neutral,Somewhat pessimistic,Remain the same,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat agree,In 25 years,A moderate amount,A great deal,A moderate amount,A great deal,A moderate amount,In 50 years,Somewhat agree,Strongly support,Somewhat support,Somewhat support,Somewhat support,Somewhat oppose,Somewhat oppose,More,More,More,More,More,More,High,Very high,Strongly agree,Strongly agree,Rarely,At least once a week,Moderately severe,Don’t know,Slightly responsible,Somewhat agree,agree,agree,neutral,neutral,agree,disagree,neutral,agree,disagree,disagree,agree,agree,agree,agree,agree,neutral,agree_a_little,neutral,disagree_a_little,neutral,neutral,neutral,agree_a_little,disagree_a_little,disagree_a_little,,,,,
6808ae5784077492cbea8f9a,Female,Europe,Europe,>10 years,No,High School Degree,Unemployed,N/A,N/A,Culture HealthNutrition,0-1 hour/day,Somewhat concerned,Very important,Strongly agree,Moderate / Middle of the road,Strongly oppose,Neither optimistic nor pessimistic,Remain the same,Yes,Caused mostly by human activities,There is a lot of disagreement among scientists about whether or not global warming is happening,Somewhat agree,In 50 years,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,In 50 years,Somewhat disagree,Strongly support,Somewhat support,Strongly support,Somewhat support,Strongly oppose,Strongly oppose,More,More,More,More,More,More,Very high,Very high,Strongly agree,Somewhat agree,Occasionally,Several times a year,Moderately severe,Probably not,Very responsible,Strongly agree,strongly_disagree,neutral,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,disagree,disagree,strongly_disagree,strongly_disagree,neutral,neutral,disagree_a_little,disagree_a_little,neutral,neutral,neutral,agree_strongly,disagree_a_little,neutral,,,,,
6808b26584077492cbea90de,Male,Europe,Europe,<5 years,No,Postgraduate Degree,Unemployed,N/A,N/A,History HealthNutrition Culture,0-1 hour/day,Not very concerned,Moderately important,Neither agree nor disagree,Prefer not to answer,Neutral,Somewhat optimistic,Remain the same,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat agree,In 25 years,A moderate amount,A great deal,A great deal,A moderate amount,A moderate amount,In 25 years,Somewhat agree,Somewhat support,Somewhat support,Somewhat support,Somewhat support,Somewhat support,Somewhat oppose,More,More,More,More,More,More,High,High,Somewhat agree,Somewhat disagree,Occasionally,At least once a week,Moderately severe,Probably yes,Moderately responsible,Neither agree nor disagree,disagree,neutral,disagree,neutral,disagree,disagree,disagree,disagree,neutral,neutral,disagree,disagree,neutral,disagree,disagree,neutral,agree_a_little,disagree_a_little,agree_a_little,neutral,agree_a_little,agree_a_little,agree_a_little,neutral,disagree_a_little,,,,,
6808b6d884077492cbea9286,Female,Europe,Europe,>10 years,No,High School Degree,Unemployed,N/A,N/A,Culture HealthNutrition,0-1 hour/day,Somewhat concerned,Very important,Somewhat agree,Very liberal,Somewhat oppose,Neither optimistic nor pessimistic,Remain the same,Yes,Caused mostly by human activities,There is a lot of disagreement among scientists about whether or not global warming is happening,Somewhat disagree,In 10 years,A moderate amount,A great deal,A great deal,A moderate amount,A moderate amount,In 10 years,Somewhat disagree,Somewhat support,Somewhat support,Somewhat support,Somewhat support,Somewhat oppose,Somewhat support,More,More,More,More,Much more,Much more,High,High,Somewhat agree,Somewhat agree,Occasionally,At least once a month,Moderately severe,Probably not,Moderately responsible,Somewhat agree,agree,agree,agree,agree,agree,agree,agree,neutral,strongly_agree,agree,agree,agree,neutral,agree,neutral,disagree_a_little,agree_a_little,disagree_a_little,agree_a_little,disagree_strongly,agree_a_little,disagree_a_little,neutral,agree_a_little,neutral,,,,,
6808b72484077492cbea9288,Male,Europe,Europe,>10 years,No,Undergraduate Degree,Unemployed,N/A,N/A,HealthNutrition Politics,5+ hours/day,Somewhat concerned,Moderately important,Neither agree nor disagree,Moderate / Middle of the road,Neutral,Somewhat optimistic,Reduced,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat agree,In 50 years,Only a little,A great deal,A moderate amount,Only a little,Only a little,In 50 years,Somewhat agree,Somewhat support,Somewhat support,Strongly support,Somewhat support,Somewhat oppose,Somewhat oppose,More,More,More,More,More,Currently doing the right amount,High,High,Strongly agree,Somewhat agree,Occasionally,At least once a month,Slightly severe,Probably not,Very responsible,Neither agree nor disagree,strongly_disagree,agree,strongly_disagree,strongly_disagree,strongly_disagree,neutral,disagree,neutral,strongly_disagree,disagree,disagree,strongly_disagree,strongly_disagree,disagree,neutral,disagree_a_little,agree_strongly,disagree_a_little,agree_a_little,agree_a_little,agree_strongly,disagree_a_little,agree_a_little,neutral,disagree_a_little,,,,,
