respondent_id,question,answer
R_001,UserID,680888511c27a3a70e404a8c
R_001,Gender,Female
R_001,Region of Birth,Asia
R_001,Region of Residence,Europe
R_001,How long ago did you move to your current country of residence?,<5 years
R_001,Do you have children?,No
R_001,Education Level (Highest achieved or currently pursuing),Undergraduate Degree
R_001,Job Status,Unemployed
R_001,Job Role,
R_001,Job Level,
R_001,Topic(s) of interest,Geography
R_001,Social Media Usage,5+ hours/day
R_001,How concerned are you that policies to address global warming will increase your cost of living?,Dont know
R_001,How important is it to you that this country leads the world in new technologies and innovation?,Not important at all
R_001,Do you agree or disagree with the question: True patriotism means leaving the country better than you found it.,Strongly disagree
R_001,"On social and political issues, where would you place yourself?",Prefer not to answer
R_001,An ideal society requires some groups to be on top and others to be on the bottom.,Strongly favor
R_001,Do you feel optimistic or pessimistic about the future?,Very pessimistic
R_001,"Do you think the number of immigrants to your country should be increased, reduced, or remain the same?",Reduced
R_001,Do you think that global warming is happening?,Yes
R_001,"Assuming global warming is happening, do you think it is?",Caused mostly by human activities
R_001,Which comes closest to your own view about what most scientists think?,Dont know enough to say
R_001,How strongly do you agree or disagree with the following question: Global warming is affecting the weather in your country.,Strongly disagree
R_001,"In your opinion, when will global warming start to harm people in your country?",Dont know
R_001,How much do you think global warming will harm plants and animal species?,Dont know
R_001,How much do you think global warming will harm future generations of people?,Dont know
R_001,How much do you think global warming will harm people in developing countries?,Dont know
R_001,How much do you think global warming will harm people in your country?,Dont know
R_001,How much do you think global warming will harm you personally?,Dont know
R_001,When do you think global warming will start to harm people in your country?,Never
R_001,How much do you agree or disagree with the following question: I have personally experienced the effects of global warming?,Strongly disagree
R_001,"Fund more research into renewable energy sources, such as solar and wind power.",Strongly oppose
R_001,Require fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount.,Strongly oppose
R_001,Provide tax rebates for people who purchase energy-efficient vehicles or solar panels.,Strongly oppose
R_001,Set strict CO2 emission limits on coal-fired power plants.,Strongly oppose
R_001,Drill for oil in natural areas or reserves.,Strongly oppose
R_001,Expand offshore drilling for oil and natural gas off your country's coast.,Strongly oppose
R_001,Do you think the following should be doing more or less to address global warming? Corporations and industry.,Much less
R_001,The President.,Much less
R_001,Congress.,Much less
R_001,Your Governor.,Much less
R_001,Your local officials.,Much less
R_001,Citizens themselves.,Much less
R_001,Should global warming be a priority for the next president and Congress?,Low
R_001,Should developing sources of clean energy be a priority?,Low
R_001,Generate renewable energy (solar and wind) on public land in your country.,Strongly disagree
R_001,Support the economy transition from fossil fuels to 100% clean energy by 2050.,Strongly disagree
R_001,How often do you discuss global warming with your friends and family?,Never
R_001,How often do you hear about global warming in the media?,Never
R_001,How severe would you rate the personal effects of global warming that you have experienced?,Dont know / Not applicable
R_001,"Would you personally be willing to pay higher energy bills to support more renewable energy development (solar, wind, etc.)?",Dont know
R_001,How responsible do you feel personally for helping reduce the effects of global warming on future generations?,Dont know
R_001,Do you agree or disagree with the statement: True patriotism means leaving the country better than you found it.,Strongly disagree
R_001,"The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization.",disagree
R_001,A lot of important information is deliberately concealed from the public out of self-interest.,strongly_disagree
R_001,Certain significant events have been the result of the activity of a small group that secretly manipulates world events.,strongly_disagree
R_001,The government uses innocent people as patsies to hide its involvement in criminal activity.,strongly_disagree
R_001,Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent.,strongly_disagree
R_001,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",strongly_disagree
R_001,New and advanced technology which would harm current industry is being suppressed.,strongly_disagree
R_001,The power held by heads of state is second to that of small unknown groups who really control world politics.,strongly_disagree
R_001,"Secret organizations communicate with extraterrestrials, but keep this fact from the public.",strongly_disagree
R_001,Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact.,strongly_disagree
R_001,"The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.",strongly_disagree
R_001,"A small, secret group of people is responsible for making all major decisions, such as going to war.",strongly_disagree
R_001,Technology with mind-control capacities is used on people without their knowledge.,strongly_disagree
R_001,Evidence of alien contact is being concealed from the public.,strongly_disagree
R_001,"Groups of scientists manipulate, fabricate, or suppress evidence in order to deceive the public.",strongly_disagree
R_001,I see myself as someone who is reserved.,agree_strongly
R_001,I see myself as someone who is generally trusting.,agree_strongly
R_001,I see myself as someone who tends to be lazy.,agree_strongly
R_001,"I see myself as someone who is relaxed, handles stress well.",agree_strongly
R_001,I see myself as someone who has few artistic interests.,agree_strongly
R_001,"I see myself as someone who is outgoing, sociable.",agree_strongly
R_001,I see myself as someone who tends to find fault with others.,agree_strongly
R_001,I see myself as someone who does a thorough job.,agree_strongly
R_001,I see myself as someone who gets nervous easily.,agree_strongly
R_001,I see myself as someone who has an active imagination.,agree_strongly
R_001,Question 93,
R_001,Question 94,
R_001,Question 95,
R_001,Question 96,
R_001,Question 97,
R_002,UserID,6808aced84077492cbea8f94
R_002,Gender,Female
R_002,Region of Birth,Europe
R_002,Region of Residence,Europe
R_002,How long ago did you move to your current country of residence?,>10 years
R_002,Do you have children?,No
R_002,Education Level (Highest achieved or currently pursuing),Postgraduate Degree
R_002,Job Status,Unemployed
R_002,Job Role,
R_002,Job Level,
R_002,Topic(s) of interest,Economics
R_002,Social Media Usage,5+ hours/day
R_002,How concerned are you that policies to address global warming will increase your cost of living?,Very concerned
R_002,How important is it to you that this country leads the world in new technologies and innovation?,Extremely important
R_002,Do you agree or disagree with the question: True patriotism means leaving the country better than you found it.,Strongly disagree
R_002,"On social and political issues, where would you place yourself?",Very liberal
R_002,An ideal society requires some groups to be on top and others to be on the bottom.,Somewhat oppose
R_002,Do you feel optimistic or pessimistic about the future?,Somewhat optimistic
R_002,"Do you think the number of immigrants to your country should be increased, reduced, or remain the same?",Remain the same
R_002,Do you think that global warming is happening?,Yes
